"Sort_Date","Plot_Treatment","Plot_Replicate","Footprint","Plot_ID","Footprint_Full","Start_Date","Days_Since_Irrigation","Genus","Epithet","Species","Reproductive_Yes1_No0","Number","Voucher","Sorter"
"8/2/2021","T7","R5","IR","T7_R5_IR","Control (irrigated)","7/6/2021","0","Solenopsis","molesta","Solenopsis molesta","0","2","NHKBS3365","JDS"
"8/2/2021","T7","R5","IR","T7_R5_IR","Control (irrigated)","7/6/2021","0","Tetramorium","immigrans","Tetramorium immigrans","0","2","NHKBS3366","JDS"
"10/27/2021","T7","R5","VR","T7_R5_VR","Variable Rainfall","7/6/2021","0","Brachymyrmex","depilis","Brachymyrmex depilis","0","2","NHKBS3783","ECO"
"10/27/2021","T7","R5","VR","T7_R5_VR","Variable Rainfall","7/6/2021","0","Formica","glacialis","Formica glacialis","0","6","NHKBS3781","ECO"
"10/27/2021","T7","R5","VR","T7_R5_VR","Variable Rainfall","7/6/2021","0","Myrmica","fracticornis","Myrmica fracticornis","0","2","NHKBS3782","ECO"
"10/26/2021","T1","R1","D1","T1_R1_D1","Y1 Drought (soy)","7/7/2021","1","Lasius","neoniger","Lasius neoniger","0","1","NHKBS3764","ECO"
"10/26/2021","T1","R1","D1","T1_R1_D1","Y1 Drought (soy)","7/7/2021","1","Tetramorium","immigrans","Tetramorium immigrans","0","4","NHKBS3763","ECO"
"7/21/2021","T1","R1","IR","T1_R1_IR","Control (irrigated)","7/7/2021","1","Aphaenogaster","rudis","Aphaenogaster rudis","1","1","NHKBS3303","JDS"
"7/21/2021","T1","R1","IR","T1_R1_IR","Control (irrigated)","7/7/2021","1","Lasius","neoniger","Lasius neoniger","0","3","NHKBS3301","JDS"
"7/21/2021","T1","R1","IR","T1_R1_IR","Control (irrigated)","7/7/2021","1","Tetramorium","immigrans","Tetramorium immigrans","0","5","NHKBS3302","JDS"
"8/2/2021","T1","R1","VR","T1_R1_VR","Variable Rainfall","7/7/2021","1","No ants","NULL","No ants NULL","NULL","NULL","NULL","JDS"
"10/20/2021","T1","R2","D1","T1_R2_D1","Y1 Drought (soy)","7/7/2021","1","Lasius","neoniger","Lasius neoniger","0","1","NHKBS3706","ECO"
"10/20/2021","T1","R2","D1","T1_R2_D1","Y1 Drought (soy)","7/7/2021","1","Tetramorium","immigrans","Tetramorium immigrans","0","1","NHKBS3707","ECO"
"7/21/2021","T1","R2","IR","T1_R2_IR","Control (irrigated)","7/7/2021","1","Tetramorium","immigrans","Tetramorium immigrans","0","1","NHKBS3298","JDS"
"1/27/2022","T1","R2","VR","T1_R2_VR","Variable Rainfall","7/7/2021","1","Lasius","neoniger","Lasius neoniger","0","2","NHKBS4004","AKS"
"1/27/2022","T1","R2","VR","T1_R2_VR","Variable Rainfall","7/7/2021","1","Tetramorium","immigrans","Tetramorium immigrans","0","3","NHKBS4005","AKS"
"8/25/2021","T2","R1","D1","T2_R1_D1","Y1 Drought (soy)","7/7/2021","1","Lasius","neoniger","Lasius neoniger","0","2","NHKBS3471","JDS"
"8/25/2021","T2","R1","D1","T2_R1_D1","Y1 Drought (soy)","7/7/2021","1","Tetramorium","immigrans","Tetramorium immigrans","0","3","NHKBS3470","JDS"
"7/12/2021","T2","R1","VR","T2_R1_VR","Variable Rainfall","7/7/2021","1","Lasius","neoniger","Lasius neoniger","0","1","NHKBS3216","JDS"
"7/12/2021","T2","R1","VR","T2_R1_VR","Variable Rainfall","7/7/2021","1","Tetramorium","immigrans","Tetramorium immigrans","0","6","NHKBS3217","JDS"
"9/8/2021","T2","R4","D1","T2_R4_D1","Y1 Drought (soy)","7/7/2021","1","Solenopsis","molesta","Solenopsis molesta","0","6","NHKBS3534","JDS"
"8/2/2021","T2","R4","IR","T2_R4_IR","Control (irrigated)","7/7/2021","1","Lasius","neoniger","Lasius neoniger","0","5","NHKBS3356","JDS"
"8/2/2021","T2","R4","IR","T2_R4_IR","Control (irrigated)","7/7/2021","1","Tetramorium","immigrans","Tetramorium immigrans","0","2","NHKBS3357","JDS"
"8/30/2021","T2","R4","IR","T2_R4_IR","Control (irrigated)","7/7/2021","0","Lasius","neoniger","Lasius neoniger","0","1","NHKBS3501","JDS"
"8/30/2021","T2","R4","IR","T2_R4_IR","Control (irrigated)","7/7/2021","0","Solenopsis","molesta","Solenopsis molesta","0","3","NHKBS3502","JDS"
"11/30/2021","T2","R4","VR","T2_R4_VR","Variable Rainfall","7/7/2021","1","Lasius","neoniger","Lasius neoniger","0","3","NHKBS3874","AKS"
"11/30/2021","T2","R4","VR","T2_R4_VR","Variable Rainfall","7/7/2021","1","Tetramorium","immigrans","Tetramorium immigrans","0","2","NHKBS3873","AKS"
"8/25/2021","T7","R1","D1","T7_R1_D1","Y1 Drought (soy)","7/7/2021","1","Aphaenogaster","rudis","Aphaenogaster rudis","0","2","NHKBS3461","JDS"
"8/25/2021","T7","R1","D1","T7_R1_D1","Y1 Drought (soy)","7/7/2021","1","Brachymyrmex","depilis","Brachymyrmex depilis","0","1","NHKBS3462","JDS"
"8/25/2021","T7","R1","D1","T7_R1_D1","Y1 Drought (soy)","7/7/2021","1","Lasius","americanus","Lasius americanus","1","1","NHKBS3463","JDS"
"8/25/2021","T7","R1","D1","T7_R1_D1","Y1 Drought (soy)","7/7/2021","1","Lasius","neoniger","Lasius neoniger","0","8","NHKBS3464","JDS"
"8/25/2021","T7","R1","D1","T7_R1_D1","Y1 Drought (soy)","7/7/2021","1","Myrmica","detritinodis","Myrmica detritinodis","0","6","NHKBS3460","JDS"
"2/10/2022","T7","R1","IR","T7_R1_IR","Control (irrigated)","7/7/2021","1","Aphaenogaster","rudis","Aphaenogaster rudis","0","4","NHKBS4065","AKS"
"2/10/2022","T7","R1","IR","T7_R1_IR","Control (irrigated)","7/7/2021","1","Aphaenogaster","rudis","Aphaenogaster rudis","1","1","NHKBS4067","AKS"
"2/10/2022","T7","R1","IR","T7_R1_IR","Control (irrigated)","7/7/2021","1","Lasius","neoniger","Lasius neoniger","0","1","NHKBS4066","AKS"
"2/10/2022","T7","R1","IR","T7_R1_IR","Control (irrigated)","7/7/2021","1","Solenopsis","molesta","Solenopsis molesta","0","2","NHKBS4064","AKS"
"1/14/2022","T7","R1","VR","T7_R1_VR","Variable Rainfall","7/7/2021","1","Lasius","neoniger","Lasius neoniger","0","3","NHKBS3949","AKS"
"1/14/2022","T7","R1","VR","T7_R1_VR","Variable Rainfall","7/7/2021","1","Myrmica","detritinodis","Myrmica detritinodis","0","2","NHKBS3950","AKS"
"2/15/2022","T7","R2","D1","T7_R2_D1","Y1 Drought (soy)","7/7/2021","1","Aphaenogaster","rudis","Aphaenogaster rudis","0","1","NHKBS4165","AKS"
"2/15/2022","T7","R2","D1","T7_R2_D1","Y1 Drought (soy)","7/7/2021","1","Formica","glacialis","Formica glacialis","0","2","NHKBS4163","AKS"
"2/15/2022","T7","R2","D1","T7_R2_D1","Y1 Drought (soy)","7/7/2021","1","Lasius","neoniger","Lasius neoniger","0","10","NHKBS4162","AKS"
"2/15/2022","T7","R2","D1","T7_R2_D1","Y1 Drought (soy)","7/7/2021","1","Myrmica","detritinodis","Myrmica detritinodis","0","2","NHKBS4164","AKS"
"7/21/2021","T7","R2","IR","T7_R2_IR","Control (irrigated)","7/7/2021","1","No ants","NULL","No ants NULL","NULL","NULL","NULL","JDS"
"7/14/2021","T7","R2","VR","T7_R2_VR","Variable Rainfall","7/7/2021","1","Formica","glacialis","Formica glacialis","0","2","NHKBS3243","JDS"
"7/14/2021","T7","R2","VR","T7_R2_VR","Variable Rainfall","7/7/2021","1","Tetramorium","immigrans","Tetramorium immigrans","0","15","NHKBS3244","JDS"
"7/12/2021","T7","R6","D1","T7_R6_D1","Y1 Drought (soy)","7/7/2021","1","Aphaenogaster","rudis","Aphaenogaster rudis","0","1","NHKBS3238","JDS"
"7/12/2021","T7","R6","D1","T7_R6_D1","Y1 Drought (soy)","7/7/2021","1","Brachymyrmex","depilis","Brachymyrmex depilis","0","2","NHKBS3241","JDS"
"7/12/2021","T7","R6","D1","T7_R6_D1","Y1 Drought (soy)","7/7/2021","1","Lasius","neoniger","Lasius neoniger","0","1","NHKBS3236","JDS"
"7/12/2021","T7","R6","D1","T7_R6_D1","Y1 Drought (soy)","7/7/2021","1","Myrmica","americana","Myrmica americana","0","6","NHKBS3235","JDS"
"7/12/2021","T7","R6","D1","T7_R6_D1","Y1 Drought (soy)","7/7/2021","1","Nylanderia","parvula","Nylanderia parvula","0","3","NHKBS3240","JDS"
"7/12/2021","T7","R6","D1","T7_R6_D1","Y1 Drought (soy)","7/7/2021","1","Solenopsis","molesta","Solenopsis molesta","0","6","NHKBS3239","JDS"
"7/12/2021","T7","R6","D1","T7_R6_D1","Y1 Drought (soy)","7/7/2021","1","Tetramorium","immigrans","Tetramorium immigrans","0","2","NHKBS3237","JDS"
"7/9/2021","T7","R6","IR","T7_R6_IR","Control (irrigated)","7/7/2021","1","Aphaenogaster","rudis","Aphaenogaster rudis","0","1","NHKBS3209","JDS"
"7/9/2021","T7","R6","IR","T7_R6_IR","Control (irrigated)","7/7/2021","1","Brachymyrmex","depilis","Brachymyrmex depilis","0","1","NHKBS3206","JDS"
"7/9/2021","T7","R6","IR","T7_R6_IR","Control (irrigated)","7/7/2021","1","Formica","incerta","Formica incerta","0","3","NHKBS3205","JDS"
"7/9/2021","T7","R6","IR","T7_R6_IR","Control (irrigated)","7/7/2021","1","Lasius","neoniger","Lasius neoniger","0","6","NHKBS3211","JDS"
"7/9/2021","T7","R6","IR","T7_R6_IR","Control (irrigated)","7/7/2021","1","Myrmica","americana","Myrmica americana","0","60","NHKBS3213","JDS"
"7/9/2021","T7","R6","IR","T7_R6_IR","Control (irrigated)","7/7/2021","1","Nylanderia","parvula","Nylanderia parvula","0","2","NHKBS3208","JDS"
"7/12/2021","T7","R6","VR","T7_R6_VR","Variable Rainfall","7/7/2021","1","Aphaenogaster","rudis","Aphaenogaster rudis","0","29","NHKBS3219","JDS"
"7/12/2021","T7","R6","VR","T7_R6_VR","Variable Rainfall","7/7/2021","1","Formica","pallidefulva","Formica pallidefulva","0","2","NHKBS3220","JDS"
"7/16/2021","T1","R1","D1","T1_R1_D1","Y1 Drought (soy)","7/13/2021","4","Lasius","neoniger","Lasius neoniger","0","2","NHKBS3245","JDS"
"7/16/2021","T1","R1","D1","T1_R1_D1","Y1 Drought (soy)","7/13/2021","4","Tetramorium","immigrans","Tetramorium immigrans","0","4","NHKBS3246","JDS"
"7/16/2021","T1","R1","IR","T1_R1_IR","Control (irrigated)","7/13/2021","1","Lasius","neoniger","Lasius neoniger","0","1","NHKBS3249","JDS"
"7/16/2021","T1","R1","IR","T1_R1_IR","Control (irrigated)","7/13/2021","1","Tetramorium","immigrans","Tetramorium immigrans","0","3","NHKBS3250","JDS"
"10/26/2021","T1","R1","VR","T1_R1_VR","Variable Rainfall","7/13/2021","6","Tetramorium","immigrans","Tetramorium immigrans","0","1","NHKBS3767","ECO"
"8/30/2021","T1","R4","D1","T1_R4_D1","Y1 Drought (soy)","7/13/2021","4","Lasius","neoniger","Lasius neoniger","0","4","NHKBS3489","JDS"
"8/30/2021","T1","R4","IR","T1_R4_IR","Control (irrigated)","7/13/2021","1","Lasius","neoniger","Lasius neoniger","0","1","NHKBS3486","JDS"
"8/30/2021","T1","R4","IR","T1_R4_IR","Control (irrigated)","7/13/2021","1","Solenopsis","molesta","Solenopsis molesta","0","5","NHKBS3488","JDS"
"8/30/2021","T1","R4","IR","T1_R4_IR","Control (irrigated)","7/13/2021","1","Tetramorium","immigrans","Tetramorium immigrans","0","1","NHKBS3487","JDS"
"9/7/2021","T1","R4","VR","T1_R4_VR","Variable Rainfall","7/13/2021","7","Lasius","neoniger","Lasius neoniger","0","1","NHKBS3525","JDS"
"7/21/2021","T2","R1","D1","T2_R1_D1","Y1 Drought (soy)","7/13/2021","4","Tetramorium","immigrans","Tetramorium immigrans","0","2","NHKBS3294","JDS"
"1/20/2022","T2","R1","IR","T2_R1_IR","Control (irrigated)","7/13/2021","1","Tetramorium","immigrans","Tetramorium immigrans","0","1","NHKBS3980","AKS"
"10/21/2021","T2","R1","VR","T2_R1_VR","Variable Rainfall","7/13/2021","6","Lasius","neoniger","Lasius neoniger","0","2","NHKBS2137","ECO"
"10/21/2021","T2","R1","VR","T2_R1_VR","Variable Rainfall","7/13/2021","6","Lasius","neoniger","Lasius neoniger","1","1","NHKBS2138","ECO"
"10/21/2021","T2","R1","VR","T2_R1_VR","Variable Rainfall","7/13/2021","6","Tetramorium","immigrans","Tetramorium immigrans","0","6","NHKBS2136","ECO"
"7/21/2021","T2","R3","D1","T2_R3_D1","Y1 Drought (soy)","7/13/2021","4","Lasius","neoniger","Lasius neoniger","0","11","NHKBS3289","JDS"
"7/21/2021","T2","R3","D1","T2_R3_D1","Y1 Drought (soy)","7/13/2021","4","Solenopsis","molesta","Solenopsis molesta","0","2","NHKBS3291","JDS"
"7/21/2021","T2","R3","D1","T2_R3_D1","Y1 Drought (soy)","7/13/2021","4","Tetramorium","immigrans","Tetramorium immigrans","0","2","NHKBS3290","JDS"
"8/30/2021","T2","R3","IR","T2_R3_IR","Control (irrigated)","7/13/2021","1","Myrmica","americana","Myrmica americana","0","1","NHKBS3500","JDS"
"8/31/2021","T2","R3","VR","T2_R3_VR","Variable Rainfall","7/13/2021","7","Lasius","neoniger","Lasius neoniger","0","14","NHKBS3521","JDS"
"8/31/2021","T2","R3","VR","T2_R3_VR","Variable Rainfall","7/13/2021","7","Myrmica","americana","Myrmica americana","0","1","NHKBS3522","JDS"
"8/31/2021","T2","R3","VR","T2_R3_VR","Variable Rainfall","7/13/2021","7","Solenopsis","molesta","Solenopsis molesta","0","1","NHKBS3524","JDS"
"8/31/2021","T2","R3","VR","T2_R3_VR","Variable Rainfall","7/13/2021","7","Tetramorium","immigrans","Tetramorium immigrans","0","4","NHKBS3523","JDS"
"10/25/2021","T7","R2","D1","T7_R2_D1","Y1 Drought (soy)","7/13/2021","4","Formica","subsericea","Formica subsericea","0","2","NHKBS3728","ECO"
"10/25/2021","T7","R2","D1","T7_R2_D1","Y1 Drought (soy)","7/13/2021","4","Lasius","neoniger","Lasius neoniger","0","9","NHKBS3727","ECO"
"10/25/2021","T7","R2","D1","T7_R2_D1","Y1 Drought (soy)","7/13/2021","4","Myrmica","detritinodis","Myrmica detritinodis","0","2","NHKBS3729","ECO"
"10/25/2021","T7","R2","D1","T7_R2_D1","Y1 Drought (soy)","7/13/2021","4","Tetramorium","immigrans","Tetramorium immigrans","0","1","NHKBS3730","ECO"
"10/22/2021","T7","R2","IR","T7_R2_IR","Control (irrigated)","7/13/2021","1","Formica","glacialis","Formica glacialis","0","1","NHKBS3719","ECO"
"10/22/2021","T7","R2","IR","T7_R2_IR","Control (irrigated)","7/13/2021","1","Tetramorium","immigrans","Tetramorium immigrans","0","5","NHKBS3718","ECO"
"10/22/2021","T7","R2","VR","T7_R2_VR","Variable Rainfall","7/13/2021","6","Aphaenogaster","rudis","Aphaenogaster rudis","0","1","NHKBS3713","ECO"
"10/22/2021","T7","R2","VR","T7_R2_VR","Variable Rainfall","7/13/2021","6","Brachymyrmex","depilis","Brachymyrmex depilis","0","3","NHKBS3711","ECO"
"10/22/2021","T7","R2","VR","T7_R2_VR","Variable Rainfall","7/13/2021","6","Formica","glacialis","Formica glacialis","0","2","NHKBS3712","ECO"
"10/22/2021","T7","R2","VR","T7_R2_VR","Variable Rainfall","7/13/2021","6","Lasius","neoniger","Lasius neoniger","0","5","NHKBS3710","ECO"
"10/22/2021","T7","R2","VR","T7_R2_VR","Variable Rainfall","7/13/2021","6","Tetramorium","immigrans","Tetramorium immigrans","0","23","NHKBS2140","ECO"
"8/30/2021","T7","R5","D1","T7_R5_D1","Y1 Drought (soy)","7/13/2021","4","Aphaenogaster","rudis","Aphaenogaster rudis","0","1","NHKBS3497","JDS"
"8/30/2021","T7","R5","D1","T7_R5_D1","Y1 Drought (soy)","7/13/2021","4","Brachymyrmex","depilis","Brachymyrmex depilis","0","1","NHKBS3496","JDS"
"10/22/2021","T7","R5","IR","T7_R5_IR","Control (irrigated)","7/13/2021","1","Formica","glacialis","Formica glacialis","0","2","NHKBS3716","ECO"
"10/22/2021","T7","R5","IR","T7_R5_IR","Control (irrigated)","7/13/2021","1","Lasius","neoniger","Lasius neoniger","0","1","NHKBS3717","ECO"
"10/22/2021","T7","R5","IR","T7_R5_IR","Control (irrigated)","7/13/2021","1","Myrmica","americana","Myrmica americana","0","2","NHKBS3715","ECO"
"10/20/2021","T7","R5","VR","T7_R5_VR","Variable Rainfall","7/13/2021","7","Brachymyrmex","depilis","Brachymyrmex depilis","0","3","NHKBS3753","JDS"
"10/20/2021","T7","R5","VR","T7_R5_VR","Variable Rainfall","7/13/2021","7","Formica","subsericea","Formica subsericea","0","1","NHKBS3756","JDS"
"10/20/2021","T7","R5","VR","T7_R5_VR","Variable Rainfall","7/13/2021","7","Lasius","neoniger","Lasius neoniger","0","26","NHKBS3754","JDS"
"10/20/2021","T7","R5","VR","T7_R5_VR","Variable Rainfall","7/13/2021","7","Myrmica","americana","Myrmica americana","0","1","NHKBS3755","JDS"
"8/27/2021","T7","R6","D1","T7_R6_D1","Y1 Drought (soy)","7/13/2021","4","Aphaenogaster","rudis","Aphaenogaster rudis","0","2","NHKBS3481","JDS"
"8/27/2021","T7","R6","D1","T7_R6_D1","Y1 Drought (soy)","7/13/2021","4","Myrmica","americana","Myrmica americana","0","6","NHKBS3480","JDS"
"8/27/2021","T7","R6","D1","T7_R6_D1","Y1 Drought (soy)","7/13/2021","4","Solenopsis","molesta","Solenopsis molesta","0","4","NHKBS3482","JDS"
"8/27/2021","T7","R6","D1","T7_R6_D1","Y1 Drought (soy)","7/13/2021","4","Unknown","sp","Unknown sp","0","1","NULL","JDS"
"7/16/2021","T7","R6","IR","T7_R6_IR","Control (irrigated)","7/13/2021","1","Crematogaster","cerasi","Crematogaster cerasi","0","1","NHKBS3258","AMS"
"7/16/2021","T7","R6","IR","T7_R6_IR","Control (irrigated)","7/13/2021","1","Formica","subsericea","Formica subsericea","0","1","NHKBS3257","AMS"
